"id","geolocation_as_point.lon","geolocation_as_point.lat","acquisitionTime"
"1161716616",7.706972,49.442078,"01:25:59"
"1161716616",7.706618,49.442036,"01:26:04"
"1161716616",7.705968,49.442307,"01:26:09"
"1161716616",7.70546,49.44299,"01:26:14"
"1161716616",7.70546,49.44299,"01:26:14"
"1161716616",7.705123,49.443672,"01:26:19"
"1161716616",7.704895,49.444256,"01:26:24"
"1161716616",7.704592,49.44524,"01:26:29"
"1161716616",7.704592,49.44524,"01:26:29"
"1161716616",7.704405,49.446102,"01:26:34"
"1161716616",7.70422,49.44705,"01:26:39"
"1161716616",7.704105,49.447628,"01:26:44"
"1161716616",7.703985,49.448215,"01:26:44"
"1161716616",7.703862,49.448795,"01:26:49"
"1161716616",7.703633,49.449997,"01:26:54"
"1161716616",7.703477,49.450813,"01:26:59"
"1161716616",7.703477,49.450813,"01:26:59"
"1161716616",7.703277,49.451824,"01:27:04"
"1161716616",7.703077,49.452843,"01:27:09"
"1161716616",7.70284,49.454067,"01:27:14"
"1161716616",7.70284,49.454067,"01:27:14"
"1161716616",7.702653,49.455048,"01:27:19"
"1161716616",7.702477,49.456,"01:27:24"
"1161716616",7.702372,49.45657,"01:27:29"
"1161716616",7.702262,49.45714,"01:27:29"
"1161716616",7.702078,49.458115,"01:27:34"
"1161716616",7.7019,49.4591,"01:27:39"
"1161716616",7.701792,49.459686,"01:27:44"
"1161716616",7.701792,49.459686,"01:27:44"
"1161716616",7.701605,49.4607,"01:27:49"
"1161716616",7.701408,49.46176,"01:27:54"
"1161716616",7.701202,49.462837,"01:27:59"
"1161716616",7.701202,49.462837,"01:27:59"
"1161716616",7.701003,49.463886,"01:28:04"
"1161716616",7.700783,49.46508,"01:28:09"
"1161716616",7.700598,49.466034,"01:28:14"
"1161716616",7.700598,49.466034,"01:28:14"
"1161716616",7.700345,49.467094,"01:28:19"
"1161716616",7.700235,49.467632,"01:28:24"
"1161716616",7.700038,49.468666,"01:28:29"
"1161716616",7.700038,49.468666,"01:28:29"
"1161716616",7.699855,49.469715,"01:28:34"
"1161716616",7.699687,49.470615,"01:28:39"
"1161716616",7.699502,49.47134,"01:28:44"
"1161716616",7.699502,49.47134,"01:28:44"
"1161716616",7.699145,49.472233,"01:28:49"
"1161716616",7.698553,49.47305,"01:28:54"
"1161716616",7.69784,49.47389,"01:28:59"
"1161716616",7.69784,49.47389,"01:28:59"
"1161716616",7.697083,49.47476,"01:29:04"
"1161716616",7.696375,49.47563,"01:29:09"
"1161716616",7.695648,49.47646,"01:29:14"
"1161716616",7.695648,49.47646,"01:29:14"
"1161716616",7.694663,49.47742,"01:29:19"
"1161716616",7.693642,49.478138,"01:29:24"
"1161716616",7.693175,49.4784,"01:29:29"
"1161716616",7.692438,49.478756,"01:29:29"
"1161716616",7.691393,49.47915,"01:29:34"
"1161716616",7.690002,49.479515,"01:29:39"
"1161716616",7.688563,49.479733,"01:29:44"
"1161716616",7.688563,49.479733,"01:29:44"
"1161716616",7.686863,49.4798,"01:29:49"
"1161716616",7.685512,49.47974,"01:29:54"
"1161716616",7.685033,49.479713,"01:29:59"
"1161716616",7.68438,49.479645,"01:29:59"
"1161716616",7.683617,49.47979,"01:30:04"
"1161716616",7.683113,49.480232,"01:30:09"
"1161716616",7.682623,49.480293,"01:30:14"
"1161716616",7.682623,49.480293,"01:30:14"
"1161716616",7.68157,49.480255,"01:30:19"
"1161716616",7.680762,49.480377,"01:30:24"
"1161716616",7.68053,49.481033,"01:30:29"
"1161716616",7.68053,49.481033,"01:30:29"
"1161716616",7.680458,49.48178,"01:30:34"
"1161716616",7.680683,49.482132,"01:30:39"
"1161716616",7.680329,49.48211,"01:30:44"
"1161716616",7.681467,49.48218,"01:30:44"
"1161716616",7.682438,49.48208,"01:30:49"
"1161716616",7.683512,49.481937,"01:30:54"
"1161716616",7.683933,49.48188,"01:30:59"
"1161716616",7.684445,49.481808,"01:30:59"
"1161716616",7.684883,49.481735,"01:31:04"
"1161716616",7.68501,49.4817,"01:31:09"
"1161716616",7.68501,49.4817,"01:31:14"
"1161716616",7.684926,49.481556,"01:31:24"
"1161716616",7.68501,49.4817,"01:31:29"
"1161716616",7.68501,49.4817,"01:31:29"
"1161716616",7.68501,49.4817,"01:31:44"
"1161716616",7.68501,49.4817,"01:31:59"
"1161716616",7.68494,49.481537,"01:32:04"
"1161716616",7.68501,49.4817,"01:32:09"
"1161716616",7.684319,49.48215,"01:32:14"
"1161716616",7.684926,49.481533,"01:32:29"
"1161716616",7.684926,49.481533,"01:32:29"
"1161716616",7.68501,49.4817,"01:32:34"
"1161716616",7.68501,49.4817,"01:32:44"
"1161716616",7.68492,49.48155,"01:32:54"
"1161716616",7.68501,49.4817,"01:32:59"
"1161716616",7.68501,49.4817,"01:32:59"
"1161716616",7.685255,49.4817,"01:33:14"
"1161716616",7.685255,49.4817,"01:33:15"
"1161716616",7.685542,49.481606,"01:33:19"
"1161716616",7.685535,49.481598,"01:33:29"
"1161716616",7.684064,49.48213,"01:33:34"
"1161716616",7.685208,49.48171,"01:33:39"
"1161716616",7.684498,49.481785,"01:33:44"
"1161716616",7.684498,49.481785,"01:33:44"
"1161716616",7.683657,49.48189,"01:33:49"
"1161716616",7.682967,49.481976,"01:33:54"
"1161716616",7.681932,49.482117,"01:33:59"
"1161716616",7.681122,49.48216,"01:34:04"
"1161716616",7.680458,49.48215,"01:34:09"
"1161716616",7.680322,49.482113,"01:34:14"
"1161716616",7.680322,49.482113,"01:34:14"
"1161716616",7.680285,49.48181,"01:34:19"
"1161716616",7.680368,49.48107,"01:34:24"
"1161716616",7.680438,49.480373,"01:34:29"
"1161716616",7.680438,49.480373,"01:34:29"
"1161716616",7.680538,49.47978,"01:34:34"
"1161716616",7.68103,49.47897,"01:34:39"
"1161716616",7.681383,49.478683,"01:34:44"
"1161716616",7.681842,49.478527,"01:34:44"
"1161716616",7.682365,49.478508,"01:34:49"
"1161716616",7.683343,49.478653,"01:34:54"
"1161716616",7.683727,49.479023,"01:34:59"
"1161716616",7.683727,49.479023,"01:34:59"
"1161716616",7.684043,49.479492,"01:35:04"
"1161716616",7.6843,49.479553,"01:35:09"
"1161716616",7.685678,49.479725,"01:35:14"
"1161716616",7.685207,49.479675,"01:35:15"
"1161716616",7.687017,49.479794,"01:35:19"
"1161716616",7.688467,49.47972,"01:35:24"
"1161716616",7.689322,49.479614,"01:35:29"
"1161716616",7.689322,49.479614,"01:35:29"
"1161716616",7.69067,49.479336,"01:35:34"
"1161716616",7.691958,49.47894,"01:35:39"
"1161716616",7.693222,49.478374,"01:35:44"
"1161716616",7.693692,49.478104,"01:35:44"
"1161716616",7.694743,49.47736,"01:35:49"
"1161716616",7.695563,49.47656,"01:35:54"
"1161716616",7.69585,49.47623,"01:35:59"
"1161716616",7.696283,49.475723,"01:35:59"
"1161716616",7.69687,49.475025,"01:36:04"
"1161716616",7.697602,49.47415,"01:36:09"
"1161716616",7.698312,49.473305,"01:36:14"
"1161716616",7.698312,49.473305,"01:36:14"
"1161716616",7.699045,49.472355,"01:36:19"
"1161716616",7.699393,49.471573,"01:36:24"
"1161716616",7.69962,49.470737,"01:36:29"
"1161716616",7.699495,49.47124,"01:36:30"
"1161716616",7.699717,49.47021,"01:36:34"
"1161716616",7.699897,49.469276,"01:36:39"
"1161716616",7.700067,49.468315,"01:36:44"
"1161716616",7.700135,49.467937,"01:36:44"
"1161716616",7.700327,49.466988,"01:36:49"
"1161716616",7.700443,49.466415,"01:36:54"
"1161716616",7.700695,49.46527,"01:36:59"
"1161716616",7.700695,49.46527,"01:36:59"
"1161716616",7.700867,49.464314,"01:37:04"
"1161716616",7.701098,49.463055,"01:37:09"
"1161716616",7.701187,49.462597,"01:37:14"
"1161716616",7.701318,49.461887,"01:37:14"
"1161716616",7.701453,49.46116,"01:37:19"
"1161716616",7.701725,49.459698,"01:37:24"
"1161716616",7.70186,49.458977,"01:37:29"
"1161716616",7.701995,49.45827,"01:37:29"
"1161716616",7.702207,49.457123,"01:37:34"
"1161716616",7.702327,49.456444,"01:37:39"
"1161716616",7.702577,49.455097,"01:37:44"
"1161716616",7.702577,49.455097,"01:37:44"
"1161716616",7.702742,49.45422,"01:37:49"
"1161716616",7.702938,49.453156,"01:37:54"
"1161716616",7.703143,49.452103,"01:37:59"
"1161716616",7.703143,49.452103,"01:37:59"
"1161716616",7.703345,49.45105,"01:38:04"
"1161716616",7.703587,49.44977,"01:38:09"
"1161716616",7.703837,49.448517,"01:38:14"
"1161716616",7.703708,49.44913,"01:38:15"
"1161716616",7.703915,49.44811,"01:38:19"
"1161716616",7.704248,49.446514,"01:38:24"
"1161716616",7.704355,49.445942,"01:38:29"
"1161716616",7.704418,49.445564,"01:38:29"
"1161716616",7.704582,49.444664,"01:38:34"
"1161716616",7.70476,49.443813,"01:38:39"
"1161716616",7.704853,49.44332,"01:38:44"
"1161716616",7.704853,49.44332,"01:38:44"
"1161716616",7.705007,49.442356,"01:38:49"
"1161716616",7.705103,49.44207,"01:38:54"
"1161716616",7.705103,49.44207,"01:38:59"
"1161716616",7.70455,49.441906,"01:39:09"
"1161716616",7.705103,49.442074,"01:39:14"
"1161716616",7.705103,49.442074,"01:39:14"
"1161716616",7.704613,49.44191,"01:39:24"
"1161716616",7.705103,49.442074,"01:39:29"
"1161716616",7.705103,49.442074,"01:39:29"
"1161716616",7.705178,49.441902,"01:39:34"
"1161716616",7.705062,49.441544,"01:39:39"
"1161716616",7.705518,49.44111,"01:39:44"
"1161716616",7.705518,49.44111,"01:39:44"
"1161716616",7.706365,49.44109,"01:39:49"
"1161716616",7.70685,49.44154,"01:39:54"
"1161716616",7.70742,49.44199,"01:39:59"
"1161716616",7.70742,49.44199,"01:39:59"
"1161716616",7.708685,49.441906,"01:40:04"
"1161716616",7.709773,49.441532,"01:40:09"
"1161716616",7.7104,49.441326,"01:40:14"
"1161716616",7.7104,49.441326,"01:40:14"
"1161716616",7.711405,49.44133,"01:40:19"
"1161716616",7.712862,49.44155,"01:40:24"
"1161716616",7.713845,49.441708,"01:40:29"
"1161716616",7.714292,49.44178,"01:40:29"
"1161716616",7.715233,49.441925,"01:40:34"
"1161716616",7.715593,49.44198,"01:40:39"
"1161716616",7.715688,49.44213,"01:40:44"
"1161716616",7.715688,49.44213,"01:40:44"
"1161716616",7.715597,49.442204,"01:40:49"
"1161716616",7.715465,49.442245,"01:40:54"
"1161716616",7.715465,49.442245,"01:40:59"
"1161716616",7.714906,49.44218,"01:41:09"
"1161716616",7.71542,49.44221,"01:41:14"
"1161716616",7.71542,49.44221,"01:41:14"
"1161716616",7.71542,49.44221,"01:41:29"
"1161716616",7.715864,49.442207,"01:41:34"
"1161716616",7.71542,49.44221,"01:41:39"
"1161716616",7.71542,49.44221,"01:41:44"
"1161716616",7.714801,49.44217,"01:41:49"
"1161716616",7.71542,49.44221,"01:41:54"
"1161716616",7.714904,49.44215,"01:41:59"
"1161716616",7.715554,49.44215,"01:42:14"
"1161716616",7.715554,49.44215,"01:42:14"
"1161716616",7.71542,49.44221,"01:42:19"
"1161716616",7.71542,49.44221,"01:42:29"
"1161716616",7.714798,49.442173,"01:42:29"
"1161716616",7.71542,49.44221,"01:42:34"
"1161716616",7.714866,49.4422,"01:42:39"
"1161716616",7.71542,49.44221,"01:42:44"
"1161716616",7.71542,49.44221,"01:42:44"
"1161716616",7.71542,49.44221,"01:42:59"
"1161716616",7.714835,49.442165,"01:43:04"
"1161716616",7.71542,49.44221,"01:43:09"
"1161716616",7.71542,49.44221,"01:43:14"
"1161716616",7.715711,49.442112,"01:43:19"
"1161716616",7.71542,49.44221,"01:43:24"
"1161716616",7.714837,49.44219,"01:43:29"
"1161716616",7.714834,49.44218,"01:43:44"
"1161716616",7.714834,49.44218,"01:43:44"
"1161716616",7.71542,49.44221,"01:43:49"
"1161716616",7.71542,49.44221,"01:43:59"
"1161716616",7.714839,49.442177,"01:43:59"
"1161716616",7.71542,49.44221,"01:44:04"
"1161716616",7.71542,49.44221,"01:44:14"
"1161716616",7.714818,49.442192,"01:44:24"
"1161716616",7.71542,49.44221,"01:44:29"
"1161716616",7.71542,49.44221,"01:44:44"
"1161716616",7.71542,49.44221,"01:44:59"
"1161716616",7.71542,49.44221,"01:45:14"
"1161716616",7.715562,49.442238,"01:45:44"
"1161716616",7.715975,49.44203,"01:45:59"
"1161716616",7.717938,49.44233,"01:46:14"
"1161716616",7.720603,49.44251,"01:46:29"
"1161716616",7.720603,49.44251,"01:46:29"
"1161716616",7.721805,49.442593,"01:46:34"
"1161716616",7.722877,49.442646,"01:46:39"
"1161716616",7.72383,49.44269,"01:46:44"
"1161716616",7.723473,49.44267,"01:46:45"
"1161716616",7.724768,49.44278,"01:46:49"
"1161716616",7.72536,49.442856,"01:46:54"
"1161716616",7.726522,49.443005,"01:46:59"
"1161716616",7.726522,49.443005,"01:46:59"
"1161716616",7.727673,49.443157,"01:47:04"
"1161716616",7.728657,49.443283,"01:47:09"
"1161716616",7.729043,49.443333,"01:47:14"
"1161716616",7.729588,49.443405,"01:47:14"
"1161716616",7.730387,49.44361,"01:47:19"
"1161716616",7.731153,49.444004,"01:47:24"
"1161716616",7.731603,49.4443,"01:47:29"
